,x,y,temp,vapr,wind,prec
0,-123.1,46.8,-3.3999999521443642e+38,-3.3999999521443642e+38,-3.3999999521443642e+38,-32768.0
1,-123.1,46.791666666666664,-3.3999999521443642e+38,-3.3999999521443642e+38,-3.3999999521443642e+38,-32768.0
2,-123.1,46.78333333333333,-3.3999999521443642e+38,-3.3999999521443642e+38,-3.3999999521443642e+38,-32768.0
3,-123.1,46.775,-3.3999999521443642e+38,-3.3999999521443642e+38,-3.3999999521443642e+38,-32768.0
4,-123.09166666666665,46.8,14.600000381469727,1.190000057220459,3.0,50.0
5,-123.09166666666665,46.791666666666664,14.5,1.190000057220459,3.0,50.0
6,-123.09166666666665,46.78333333333333,14.5,1.1799999475479126,3.0,51.0
7,-123.09166666666665,46.775,-3.3999999521443642e+38,-3.3999999521443642e+38,-3.3999999521443642e+38,-32768.0
8,-123.08333333333333,46.8,14.399999618530273,1.1799999475479126,3.0,52.0
9,-123.08333333333333,46.791666666666664,14.5,1.190000057220459,3.0,51.0
10,-123.08333333333333,46.78333333333333,14.399999618530273,1.1799999475479126,3.0,51.0
11,-123.08333333333333,46.775,-3.3999999521443642e+38,-3.3999999521443642e+38,-3.3999999521443642e+38,-32768.0
12,-123.07499999999999,46.8,14.300000190734863,1.1799999475479126,3.0,52.0
13,-123.07499999999999,46.791666666666664,14.399999618530273,1.1799999475479126,3.0,52.0
14,-123.07499999999999,46.78333333333333,14.399999618530273,1.1799999475479126,3.0,52.0
15,-123.07499999999999,46.775,-3.3999999521443642e+38,-3.3999999521443642e+38,-3.3999999521443642e+38,-32768.0
16,-123.06666666666666,46.8,14.5,1.2000000476837158,3.0,50.0
17,-123.06666666666666,46.791666666666664,14.5,1.2000000476837158,3.0,50.0
18,-123.06666666666666,46.78333333333333,14.5,1.2000000476837158,3.0,50.0
19,-123.06666666666666,46.775,-3.3999999521443642e+38,-3.3999999521443642e+38,-3.3999999521443642e+38,-32768.0
